Date                                                                   Debit €       Credit €     Balance €,Details,Value
,,
2024-07-02,Interest Rate,
2024-07-02,Disney Plus,10.99
2024-07-02,Doctor,60
2024-07-02,Ikea Ireland ,41.5
2024-07-02,Doctor,95.41
2024-07-02,Hummgroup,85.06
2024-07-02,Microsoft Storage,2
2024-07-02,Credit Card ,132.86
2024-07-04,Motor Tax,155
2024-07-05,Apple Storage,2.99
2024-07-08,Netflix,8.99
2024-07-08,Coffee,6
2024-07-08,Doctor,130
2024-07-08,Spar Balbrigga,14.7
2024-07-08,Coffee,3
2024-07-08,Restaurant,28.49
2024-07-08,Supervalu Balb,17.14
2024-07-10,Bord Gais Electricity ,4.78
2024-07-12,Spar East Poin,2.5
2024-07-15,Google Storage,1.99
2024-07-15,Lidl Balbriggan,56.05
2024-07-15,Gym,36
2024-07-15,Pizza,18.5
2024-07-15,Spar East Poin,5.95
2024-07-15,Supervalu Balb,7.08
2024-07-15,Supervalu Balb,24.94
2024-07-16,Chat Gpt,23.1
2024-07-16,Fee,0.45
2024-07-18,Amazon,11.16
2024-07-18,Fee,0.45
2024-07-19,Diesel,49.99
2024-07-22,Mirian Carneiro,90.3
2024-07-22,Supervalu Balb,4.49
2024-07-22,Supervalu Balb,7.08
2024-07-22,Tesco Stores 6,28.12
2024-07-23,Gustavo,25
2024-07-29,Restaurant,136.62
2024-07-29,Irish Life ,61.15
2024-07-29,Applegreen Bal,30.04
2024-07-29,Pub,7
2024-07-29,Pub,7
2024-07-29,Pub,24.95
2024-07-29,Lidl Balb,34.74
2024-07-29,Supervalu Balb,3.55
2024-07-29,Car Park,2.7
2024-07-30,Interest Rate,
2024-07-30,Lending @ 11.850%,
2024-07-30,Eir,50.55
2024-07-30,,
2024-07-30,Loan Aib,97.32
2024-07-30,Applegreen Bal,34.81
2024-07-30,Car Park,8
2024-07-30,Supervalu Balb,18.58
2024-07-31,Mirian Carneiro,200
2024-08-01,Rent,1214.27
2024-08-01,Supervalu Balb,7.95
2024-08-01,Supervalu Balb,18.6
2024-08-02,Disney Plus,10.99
2024-08-02,Microsoft Storage,2
2024-08-06,Apple Storage,2.99
2024-08-06,Hummgroup,85.06
2024-08-06,Miscelanius,10
2024-08-06,Car Insurance,132.86
2024-08-06,Lidl Balb,22.42
2024-08-06,Supervalu Balb,3.7
2024-08-06,Supervalu Balb,6.11
2024-08-06,Tesco Stores 6,23.18
2024-08-07,Pdfguru.Com,1.99
2024-08-08,Netflix,8.99
2024-08-08,Applegreen Bal,50.11
2024-08-08,Pizza,43.05
2024-08-09,Interest Rate,
2024-08-09,Lending @ 11.850%,
2024-08-09,Booking.Com,101.46
2024-08-09,Gas,23.49
2024-08-12,Booking.Com,400
2024-08-12,Hpnutrition,87.22
2024-08-12,Bord Gais Electricity,4.78
2024-08-12,Lidl Balb,47.89
2024-08-12,Tesco Stores 4,5.45
2024-08-13,Eflow Barrier,3.1
2024-08-13,Google Storage,1.99
2024-08-14,Gym,36
2024-08-14,Supervalu Balb,6.94
2024-08-16,Chat Gpt,22.86
2024-08-16,Fee ,0.45
2024-08-16,Diesel,60.04
2024-08-19,Amazon,11.01
2024-08-19,Fee ,0.45
2024-08-19,Credit Card ,88.53
2024-08-19,Pizza,12
2024-08-19,Lidl Balb,24.72
2024-08-19,Supervalu Balb,2.09
2024-08-19,Supervalu Balb,7.09
2024-08-19,Supervalu Balb,11.15
2024-08-19,Supervalu Balb,12.59
2024-08-21,Eir,69.96
2024-08-23,Supervalu Balb,3.67
2024-08-26,Booking.Com,340
2024-08-26,Pizza,17.15
2024-08-26,Supervalu Balb,6.09
2024-08-26,Supervalu Balb,17.35
2024-08-26,Tesco Stores 6,4.95
2024-08-26,Tesco Stores 6,32.79
2024-08-27,Pharmacy,6
2024-08-27,Lidl Balb,5.4
2024-08-27,Supervalu Balb,12
2024-08-28,Irish Life,61.15
2024-08-28,Miscelanius,11
2024-08-29,Viagem,4
2024-08-29,Viagem,5
2024-08-29,Viagem,20.7
2024-08-29,Flyghts,8
2024-08-30,Gas,20.94
2024-08-30,Loan Aib,97.32
2024-08-30,Miscelanius,5.2
2024-08-30,Viagem,5.2
2024-08-30,Viagem,1.5
2024-08-30,Viagem,5
2024-09-02,Disney Plus,10.99
2024-09-02,Microsoft Storage,2
2024-09-02,Viagem,50
2024-09-02,Rent,1214.27
2024-09-02,Viagem,5.4
2024-09-02,Viagem,6.39
2024-09-02,Viagem,5
2024-09-02,Viagem,4
2024-09-02,Viagem,8.5
2024-09-02,Viagem,41
2024-09-02,Viagem,7.5
2024-09-03,Hummgroup,85.06
2024-09-03,Credit Card,132.86
2024-09-03,Viagem,13.55
2024-09-03,Viagem,3.5
2024-09-03,Viagem,10
2024-09-04,Bike 1/5,156
2024-09-04,Viagem,6.95
2024-09-04,Viagem,6
2024-09-04,Viagem,10
2024-09-04,Viagem,9
2024-09-05,Apple Storage,2.99
2024-09-05,Miscelanius,35
2024-09-05,Lottery,10
2024-09-05,Diesel,60.05
2024-09-05,Viagem,4
2024-09-05,Viagem,25.62
2024-09-06,Parkingpay,2.8
2024-09-09,Netflix ,8.99
2024-09-09,Lidl Ireland ,55.14
2024-09-09,Coffee,3.32
2024-09-09,Supervalu Balb,5.95
2024-09-10,Bord Gais Electricity,4.78
2024-09-11,Supervalu Balb,1.7
2024-09-12,Spar East Poin,3.5
2024-09-13,Google Storage,1.99
2024-09-16,Sick Cert,24.99
2024-09-16,Leap Card ,10
2024-09-16,Chatgpt,22.67
2024-09-16,Fee ,0.45
2024-09-16,Gym,36
2024-09-16,Miscelanius,10
2024-09-16,Lidl Balb,38.5
2024-09-16,Supervalu Balb,4.97
2024-09-16,Supervalu Balb,8.84
2024-09-18,Amazon,11.13
2024-09-18,Fee,0.45
2024-09-18,Applegreen Bal,50.01
2024-09-19,Mirian Schoo,800
2024-09-19,Credit Card,103.12
2024-09-19,Eir,69.96
2024-09-19,Spar East Poin,2.5
2024-09-23,Gustavo,25
2024-09-23,Lidl 0976 Balb,47.09
2024-09-23,Supervalu Balb,6.29
2024-09-23,Supervalu Balb,16.05
2024-09-24,Supervalu Balb,9.36
2024-09-26,Diesel,30.01
2024-09-30,Gas,21.65
2024-09-30,Fee,22.15
2024-09-30,Irish Life ,61.15
2024-09-30,Loan Aib,97.32
2024-09-30,Pizza,17.5
2024-09-30,Diesel,22.94
2024-09-30,Restaurant,34.55
2024-09-30,Miscelanius,4
2024-09-30,Spar East Poin,3.5
2024-09-30,Supervalu Balb,8.55
2024-09-30,Tesco Stores 6,19.35
2024-09-30,Pub,7.2
2024-09-30,Pub,13.4
2024-09-30,Pub,14.8
2024-09-30,Pub,20.6
